Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
3374707;Cova Figueira;Cova Figueira;Cova Figueira,Koba Figera,Kóba Figera;P;PPLA;CV;Cape Verde;;24;;;;720;;480;Atlantic/Cape_Verde;2023-11-29;Cape Verde;14.89054, -24.29343
2509846;Valsequillo de Gran Canaria;Valsequillo de Gran Canaria;Valsequillo,Valsequillo de Gran Canaria;P;PPLA3;ES;Spain;;53;GC;35031;;8635;;601;Atlantic/Canary;2012-03-04;Spain;27.98562, -15.49725
2512186;Puerto del Rosario;Puerto del Rosario;Puehrto-del'-Rosario,Puerto Cabras,Puerto Rosario,Puerto de Cabras,Puerto del Rosario,Пуэрто-дель-Росарио;P;PPLA3;ES;Spain;;53;GC;35017;;35667;;43;Atlantic/Canary;2012-03-04;Spain;28.50038, -13.86272
2517349;Garachico;Garachico;Garachico,Garachiko,Гарачико;P;PPL;ES;Spain;;53;TF;38033;;6000;;295;Atlantic/Canary;2016-06-23;Spain;28.77807, -17.76459
2522325;Agüimes;Aguimes;Agueimes,Aguimes,Agvimes,Agüimes,Агвимес,Агуимес;P;PPLA3;ES;Spain;;53;GC;35002;;28924;;287;Atlantic/Canary;2025-07-07;Spain;27.90539, -15.44609
6692470;Los Gigantes;Los Gigantes;Acantilado de los Gigantes,Los Gigantes,s.m.t. Veliki Ambali,с.м.т. Великі Амбали;P;PPL;ES;Spain;;53;TF;38040;;2721;;20;Atlantic/Canary;2024-02-01;Spain;28.24361, -16.84153
2263197;São Vicente;Sao Vicente;San-Visente,San-Visenti,Sao Vicente,São Vicente,sheng wei sen te,Сан-Висенте,Сан-Висенти,Сан-Вісенте,聖維森特;P;PPL;PT;Portugal;;10;3110;311003;;6063;;111;Atlantic/Madeira;2020-01-16;Portugal;32.79673, -17.04323
2514452;Los Silos;Los Silos;Los Silos,Silos;P;PPL;ES;Spain;;53;TF;38042;;4757;;98;Atlantic/Canary;2021-11-03;Spain;28.3661, -16.81552
6355127;Costa Teguise;Costa Teguise;Costa Teguise,コスタ・テギセ;P;PPL;ES;Spain;;53;GC;35024;;7629;;28;Atlantic/Canary;2019-01-09;Spain;28.99838, -13.49911
2630299;Höfn;Hoefn;Gepn,HFN,Hafnar,Hafnar i Hornafirdi,Hafnar í Hornafirði,Hoefn,Hoefn i Hornafirdi,Hofn,Höfn,Höfn í Hornafirði,Khebn,Khjobn,Sveitarfelagid Hornafjoerdur,Sveitarfélagið Hornafjörður,he ben,hepun,hoepeun,Гепн,Хебн,Хёбн,ヘプン,赫本,회픈;P;PPL;IS;Iceland;;38;7708;;;1690;;1;Atlantic/Reykjavik;2022-01-14;Iceland;64.25388, -15.21212
3412011;Vogar;Vogar;Voga,Vogar,Vogar a Vatnsleysustroend,Vogar á Vatnsleysuströnd,Vogum;P;PPL;IS;Iceland;;43;2506;;;1029;;7;Atlantic/Reykjavik;2016-12-03;Iceland;63.9816, -22.38473
3412888;Stykkishólmur;Stykkisholmur;SYK,Stykkisholmi,Stykkisholmur,Stykkishólmi,Stykkishólmur;P;PPL;IS;Iceland;;45;3716;;;1108;;-9999;Atlantic/Reykjavik;2023-01-13;Iceland;65.07537, -22.72977
