Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2059436;Virginia;Virginia;Virginia;P;PPLX;AU;Australia;;05;45680;;;1802;;20;Australia/Adelaide;2019-07-18;Australia;-34.6663, 138.56027
2059895;Trigg;Trigg;Trigg;P;PPL;AU;Australia;;08;57910;;;2664;;20;Australia/Perth;2019-07-18;Australia;-31.86939, 115.7571
2064403;Nullagine;Nullagine;NLL,Nullagine;P;PPL;AU;Australia;;08;53220;;;2587;;383;Australia/Perth;2019-07-18;Australia;-21.88972, 120.1114
2074865;Carnarvon;Carnarvon;CVQ,Carnarvon,Karnarvon,qrnrbwn,Карнарвон,קרנרבון;P;PPLA2;AU;Australia;;08;51540;;;7392;;9;Australia/Perth;2019-07-21;Australia;-24.88258, 113.65713
2076246;Boddington;Boddington;Boddington;P;PPL;AU;Australia;;08;50630;;;1153;;219;Australia/Perth;2019-07-18;Australia;-32.80071, 116.47522
2078909;Shenton Park;Shenton Park;Shenton Park;P;PPLX;AU;Australia;;08;56580;;;4507;;21;Australia/Perth;2019-07-18;Australia;-31.95575, 115.79807
2142902;Woree;Woree;Woree;P;PPLX;AU;Australia;;04;32080;;;5351;;7;Australia/Brisbane;2019-07-18;Australia;-16.95, 145.75
2144311;Waverton;Waverton;;P;PPLX;AU;Australia;;02;15950;;;3096;;57;Australia/Sydney;2019-07-18;Australia;-33.83863, 151.20046
2144617;Warracknabeal;Warracknabeal;Uorraknabil,WKB,Warracknabeal,Уорракнабил;P;PPL;AU;Australia;;07;27630;;;2372;;109;Australia/Melbourne;2019-07-18;Australia;-36.25326, 142.39281
2144756;Wangi Wangi;Wangi Wangi;Wangi Wangi;P;PPLX;AU;Australia;;02;14650;;;2656;;9;Australia/Sydney;2019-07-18;Australia;-33.07185, 151.5984
