Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
12251868;Changzhou;Changzhou;Changzhou,zhang zhou,长洲;P;PPLA3;CN;China;;16;4504;;;0;;37;Asia/Shanghai;2021-09-20;China;23.48492, 111.27413
12271527;Qingxiu;Qingxiu;Qingxiu,qing xiu,青秀;P;PPLA3;CN;China;;16;4501;;;0;;91;Asia/Shanghai;2021-09-20;China;22.78884, 108.49214
12295759;Xingbin;Xingbin;Xingbin,xing bin,兴宾;P;PPLA3;CN;China;;16;4513;;;0;;89;Asia/Shanghai;2021-09-20;China;23.70789, 109.18215
12324248;Huiqu;Huiqu;;P;PPLA4;CN;China;;25;3707;;;59323;;134;Asia/Shanghai;2021-09-22;China;36.27136, 119.04903
12324259;Wushan;Wushan;;P;PPLA4;CN;China;;25;3707;1817989;8721601;33881;;162;Asia/Shanghai;2021-09-23;China;36.24725, 118.83832
12324304;Heguan;Heguan;;P;PPLA4;CN;China;;25;3707;;;73470;;32;Asia/Shanghai;2021-09-26;China;36.88998, 118.57379
12350429;Xiangshan;Xiangshan;Xiangshan,xiang shan,象山;P;PPLA3;CN;China;;16;;;;0;;145;Asia/Shanghai;2021-10-08;China;25.26252, 110.27627
12358504;Fubang;Fubang;;P;PPLA4;CN;China;;29;5308;;;21828;;1888;Asia/Shanghai;2021-10-15;China;22.90418, 99.80286
12358544;Qingshui;Qingshui;;P;PPLA4;CN;China;;29;5305;;;14986;;1694;Asia/Shanghai;2021-10-18;China;24.93872, 98.45974
12358632;Jifeng;Jifeng;;P;PPLA4;CN;China;;15;6212;;;16273;;1494;Asia/Shanghai;2021-10-21;China;33.65526, 105.65786
12358729;Liufeng;Liufeng;liu feng,liu feng zhen,六峰,六峰镇;P;PPLA4;CN;China;;15;6205;;;36718;;1239;Asia/Shanghai;2021-11-01;China;34.73453, 105.38609
12450865;Kuoyiqi;Kuoyiqi;kuo yi qi,阔依其;P;PPLA4;CN;China;;13;6532;;;26346;;1317;Asia/Urumqi;2022-03-31;China;37.35453, 79.72101
12450915;Guangxing;Guangxing;guang xing,广兴;P;PPLA4;CN;China;;33;8739734;;;11222;;228;Asia/Shanghai;2022-04-03;China;29.05577, 106.55549
13119059;Changyi;Changyi;Changyi,chang yi,昌邑;P;PPLA3;CN;China;;05;2202;;;0;;183;Asia/Shanghai;2024-11-15;China;43.87943, 126.56852
13228742;Anyang;Anyang;Anyang,an yang,安阳;P;PPLA3;CN;China;;09;4105;;;0;;213;Asia/Shanghai;2025-02-19;China;36.23135, 114.06906
13300162;Weibin;Weibin;Weibin,wei bin,卫滨;P;PPLA3;CN;China;;09;4107;;;0;;81;Asia/Shanghai;2025-04-17;China;35.30332, 113.85325
13308662;Guanlong;Guanlong;;P;PPLA4;CN;China;;30;4403;;;23100;;11;Asia/Shanghai;2025-05-08;China;22.58777, 113.94398
