Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2255186;Tchikapika;Tchikapika;Tchekapika,Tchikapika,Tchékapika;P;PPL;CG;Congo;;13;;;;1306;;312;Africa/Brazzaville;2023-11-29;Congo;-1.26444, 16.18028
2258803;Komono;Komono;;P;PPL;CG;Congo;;05;;;;9169;;448;Africa/Brazzaville;2023-11-29;Congo;-3.2775, 13.22611
204405;Uvira;Uvira;Uvinza,Uvira,Увира;P;PPL;CD;Congo, Democratic Republic of the;;12;08;;;407092;;806;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-3.39534, 29.13779
217834;Bukama;Bukama;Bukama;P;PPL;CD;Congo, Democratic Republic of the;;15;06;;;105530;;578;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-9.20443, 25.85475
922773;Kolwezi;Kolwezi;KWZ,Kolvezi,Kolwezi,Колвези,Колвезі;P;PPLA2;CD;Congo, Democratic Republic of the;;22;01;;;790248;;1485;Africa/Lubumbashi;2025-05-08;Congo, Democratic Republic of the;-10.71484, 25.46674
2313762;Libenge;Libenge;LIE,Libange,Libenge,Libengė,Libenzh,Limpentze,Líbɛngɛ,jie chi,labenjha,li ben gai,li ben ke,libenge,libenja,libenji,lijhenja,lipenke,lybnghy,lybnjy,lybynjy,ribenge,Λιμπέντζε,Либенж,Лібенге,ليبنجى,ليبنغي,لیبینجی,लबेन्झ,लीबेंगे,লিবেঞ্জ,લિઝેંજ,லிபேன்கே,లిబెంగే,ಲಿಬೆಂಗೆ,ලිබෙන්ජි,ไลเบนเก้,リベンゲ,利本盖,利本蓋,劫持,리벤지;P;PPL;CD;Congo, Democratic Republic of the;;28;05;;;37344;;358;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;3.65332, 18.63566
2315026;Kasongo-Lunda;Kasongo-Lunda;KGN,Kasongo-Lunda;P;PPL;CD;Congo, Democratic Republic of the;;19;07;;;20060;;534;Africa/Kinshasa;2021-09-10;Congo, Democratic Republic of the;-6.47833, 16.81735
2317397;Bandundu Province;Bandundu Province;Bandundu,Bandundu Boelgesi,Bandundu Bölgesi,Bandundu Province,Bandundu tartomany,Bandundu tartomány,Banningville,FDU,Pravincyja Bandundu,Provincia di Bandundu,Provinco Bandundu,Provinsi Bandundu,ban dun du sheng,bandandw,bandoundou zhou,bandundu ju,bandundu pranta,Бандунду,Правінцыя Бандунду,באנדונדו,بانداندو,باندوندو صوبہ,बान्दुन्दु प्रान्त,バンドゥンドゥ州,班顿杜省,반둔두 주;P;PPLA;CD;Congo, Democratic Republic of the;;20;01;;;202904;;322;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;-3.31687, 17.38063
8329635;Hyosha;Hyosha;Hyosha,Oicha,Oisha;P;PPL;CD;Congo, Democratic Republic of the;;11;07;;;74502;;1055;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;0.69781, 29.51863
2257990;Madingou;Madingou;Madingo,Madingou,Madingu,Мадингу;P;PPLA;CG;Congo;;01;;;;1153;;216;Africa/Brazzaville;2025-11-15;Congo;-4.15361, 13.55
206847;Nyunzu;Nyunzu;Nyunzu;P;PPL;CD;Congo, Democratic Republic of the;;29;10;;;62565;;734;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-5.95609, 28.01649
214614;Kamina;Kamina;KMN,Kamina,Kaminy,Камины;P;PPLA;CD;Congo, Democratic Republic of the;;15;02;;;200184;;1124;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-8.73508, 24.99798
219414;Basoko;Basoko;Basoko;P;PPL;CD;Congo, Democratic Republic of the;;30;09;;;76371;;375;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;1.23909, 23.61598
2257329;Mouyondzi;Mouyondzi;MUY,Mouionzi,Mouyondji,Mouyondzi,Muyonzi;P;PPL;CG;Congo;;01;;;;18321;;510;Africa/Brazzaville;2023-11-29;Congo;-3.99437, 13.92719
2259360;Kellé;Kelle;KEE,Kelle,Kelli,Kellé;P;PPL;CG;Congo;;14;;;;9089;;438;Africa/Brazzaville;2023-11-29;Congo;-0.0654, 14.49959
2260591;Boundji;Boundji;BOE,Boundji,Saint-Francois de Boundji,Saint-François de Boundji;P;PPL;CG;Congo;;13;;;;10224;;344;Africa/Brazzaville;2023-11-29;Congo;-1.02605, 15.35914
2565574;Pokola;Pokola;;P;PPL;CG;Congo;;10;;;;15102;;331;Africa/Brazzaville;2023-11-29;Congo;1.405, 16.31833
204283;Watsa;Watsa;Watsa;P;PPL;CD;Congo, Democratic Republic of the;;16;09;;;47278;;1018;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;3.03716, 29.53551
204953;Tshikapa;Tshikapa;Chikapa,TSH,Tshikapa,qi ka pa,tshykaba,tsuikapa,Чикапа,تشيكابا,ツィカパ,奇卡帕;P;PPLA2;CD;Congo, Democratic Republic of the;;18;01;;;634529;;484;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-6.41621, 20.79995
214575;Kampene;Kampene;Kampene;P;PPL;CD;Congo, Democratic Republic of the;;10;07;;;37034;;652;Africa/Lubumbashi;2021-09-10;Congo, Democratic Republic of the;-3.59678, 26.66715
217831;Bukavu;Bukavu;BKY,Bukavu,Costermansstad,Costermansville,Букаву;P;PPLA;CD;Congo, Democratic Republic of the;;12;01;;;816811;;1631;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-2.49077, 28.84281
218680;Boende;Boende;BNB,Boende;P;PPLA;CD;Congo, Democratic Republic of the;;31;02;;;50794;;349;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;-0.28163, 20.88053
220121;Babamba;Babamba;;P;PPL;CD;Congo, Democratic Republic of the;;30;11;;;81740;;760;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;0.18333, 27.48333
2316473;Bosobolo;Bosobolo;Bosobolo;P;PPL;CD;Congo, Democratic Republic of the;;26;06;;;14553;;442;Africa/Kinshasa;2021-09-10;Congo, Democratic Republic of the;4.1898, 19.8833
208182;Mulongo;Mulongo;Mulombo,Mulongo;P;PPL;CD;Congo, Democratic Republic of the;;15;05;;;89340;;597;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-7.83486, 26.99852
922806;Kipushi;Kipushi;Kipushi,Kipusis,Kipušis,ji pu xi,kipushi,kybwshy,Кипуши,Кіпуші,كيبوشي,კიპუში,キプシ,基普希;P;PPL;CD;Congo, Democratic Republic of the;;14;02;;;169635;;1348;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-11.76097, 27.25135
2258016;Mabombo;Mabombo;Mabombo,Mabombo IV;P;PPL;CG;Congo;;01;;;;1955;;294;Africa/Brazzaville;2023-11-29;Congo;-3.97611, 13.57694
2258248;Loudima;Loudima;Loudima,Loudima Poste,Louidma;P;PPL;CG;Congo;;01;;;;20391;;150;Africa/Brazzaville;2023-11-29;Congo;-4.11616, 13.06755
214297;Kanyobagonga;Kanyobagonga;Kanyabayonga,Kanyabayongo,Kanyabayungu,Kanyobagonga,ka ni ya ba yong jia,卡尼亞巴永加;P;PPL;CD;Congo, Democratic Republic of the;;11;11;;;44146;;1772;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-0.69978, 29.17181
923186;Fungurume;Fungurume;Fungurume,Mokandame,Mokandamé,Paka Milolo,Pakamilolo;P;PPL;CD;Congo, Democratic Republic of the;;22;03;;;50100;;1177;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-10.61771, 26.32107
2313874;Kutu;Kutu;;P;PPL;CD;Congo, Democratic Republic of the;;24;06;;;56061;;312;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;-2.7249, 18.14756
211098;Lubao;Lubao;Lubao,Senteri,Sentery,Sentiry;P;PPL;CD;Congo, Democratic Republic of the;;21;08;;;37818;;694;Africa/Lubumbashi;2023-11-29;Congo, Democratic Republic of the;-5.38771, 25.74885
211734;Lisala;Lisala;LIQ,Lisala,Lisale,Lizala,Лисале;P;PPL;CD;Congo, Democratic Republic of the;;25;02;;;117464;;418;Africa/Kinshasa;2023-11-29;Congo, Democratic Republic of the;2.15127, 21.51672
