Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
921918;Dembéni;Dembeni;Debeni,Dembeni,Dembéni,Djembeni;P;PPL;KM;Comoros;;02;;;;2657;;280;Indian/Comoro;2023-11-29;Comoros;-11.87361, 43.39778
921956;Bouni;Bouni;Bouni;P;PPL;KM;Comoros;;02;;;;1104;;241;Indian/Comoro;2012-01-18;Comoros;-11.48694, 43.38833
1054192;Vavatenina;Vavatenina;Vavatenina,wa wa tai ni na,wwtnyna,Ваватенина,ووتنینا,瓦瓦泰尼納;P;PPL;MG;Madagascar;;32;32315;32315010;32315010008;37861;;117;Indian/Antananarivo;2023-12-21;Madagascar;-17.46667, 49.2
1059059;Miandrarivo;Miandrarivo;Miandrarivo,myandraryww,Миандрариво,میاندراریوو;P;PPL;MG;Madagascar;;12;12116;12116150;12116150006;27000;;1424;Indian/Antananarivo;2018-09-10;Madagascar;-19.43333, 46.75
1070523;Antanimena;Antanimena;Antanimena,antanymna,آنتانیمنا;P;PPL;MG;Madagascar;;51;51520;51520191;51520191006;4000;;79;Indian/Antananarivo;2018-09-10;Madagascar;-23.55, 44.1
1081530;Ambodifotatra;Ambodifotatra;Ambodifotatra,Ambodifototra;P;PPL;MG;Madagascar;;32;;;;28406;;-9999;Indian/Antananarivo;2023-12-21;Madagascar;-16.98333, 49.85
934126;Queen Victoria;Queen Victoria;Queen Victoria;P;PPL;MU;Mauritius;;13;;;;3025;;129;Indian/Mauritius;2018-12-05;Mauritius;-20.22, 57.7075
934282;Midlands;Midlands;;P;PPL;MU;Mauritius;;17;;;;4546;;303;Indian/Mauritius;2024-02-16;Mauritius;-20.338, 57.567
1337619;Un’goofaaru;Un'goofaaru;U'ngoofaaru,Ugoofaaru,Un'goofaaru,Un’goofaaru,U’ngoofaaru;P;PPLA;MV;Maldives;;44;;;;1575;;9;Indian/Maldives;2022-09-22;Maldives;5.66812, 73.03017
11103468;Guraidhoo;Guraidhoo;;P;PPL;MV;Maldives;;38;;;;1800;1;-1;Indian/Maldives;2017-12-28;Maldives;3.90045, 73.46623
11694889;Bel Air;Bel Air;;P;PPLX;SC;Seychelles;;09;;;;3129;;193;Indian/Mahe;2025-10-02;Seychelles;-4.62947, 55.44547
1090455;Tsimkoura;Tsimkoura;Tsimkoura;P;PPL;YT;;;97606;;;;1406;;14;Indian/Mayotte;2024-01-29;;-12.93934, 45.13739
