Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
7601765;Ambo Village;Ambo Village;;P;PPL;KI;Kiribati;;01;TW;;;1688;;13;Pacific/Tarawa;2018-11-30;Kiribati;1.35317, 173.04259
4038733;Umatac Village;Umatac Village;Humatak,Humåtak,San Antonio de Umatag,Umatag,Ville D'Umata;P;PPLA;GU;Guam;;UM;;;;903;3;6;Pacific/Guam;2016-07-18;Guam;13.29843, 144.66314
13237019;Anao;Anao;;P;PPL;GU;Guam;;YG;;;;2385;;12;Pacific/Guam;2025-03-09;Guam;13.5289, 144.9182
3652758;Puerto Baquerizo Moreno;Puerto Baquerizo Moreno;Baquerizo Moreno,Puehrto-Bakeriso-Moreno,Puerto Bakeriso Morenas,Puerto Baquerizo,Puerto Baquerizo Moreno,Puerto Chico,Puerto-Bakeriso-Moreno,ba ke li suo mo lei nuo gang,bwyrtw bkwyryzw mwrynw,pueleutobakelisomoleno,pwrtw bakwryzw mwrynw,pwyrtw bakwyrysw mwrynw,pyurto baikverizo moreno,Пуерто-Бакерісо-Морено,Пуэрто-Бакерисо-Морено,פוארטו בקריסו מורנו,بويرتو بكويريزو مورينو,پورتو باکوریزو مورینو,پویرتو باکویریسو مورینو,प्यूर्टो बैक्वेरीज़ो मोरेनो,プエルト・バケリソ・モレノ,巴克里索莫雷諾港,푸에르토바케리소모레노;P;PPLA;EC;Ecuador;;01;2001;200151;;7290;;9;Pacific/Galapagos;2024-05-17;Ecuador;-0.90172, -89.61021
4036933;Rumung;Rumung;Fal,Faru,Fuaru,Fwaru;P;PPLA2;FM;;;04;RM;;;0;0;38;Pacific/Chuuk;2011-02-03;;9.622, 138.154
7667608;Madolenihm Municipality Government;Madolenihm Municipality Government;;P;PPLA2;FM;;;02;MA;;;0;73;82;Pacific/Pohnpei;2011-02-11;;6.83493, 158.2987
5881254;Faleāsao;Faleasao;Faleasao,Faleasau;P;PPLA3;AS;American Samoa;;020;7267965;;;0;44;28;Pacific/Pago_Pago;2012-02-02;American Samoa;-14.2222, -169.51278
5881442;Mapusagafou;Mapusagafou;;P;PPL;AS;American Samoa;;050;;;;2052;106;225;Pacific/Pago_Pago;2025-01-03;American Samoa;-14.323, -170.754
5852773;Punalu‘u;Punalu'u;Punalu'u,Punaluu,Punaluu Park,Punalu‘u;P;PPL;US;United States;;HI;003;;;1164;3;10;Pacific/Honolulu;2013-03-08;United States;21.57045, -157.87557
5854380;Waikīkī;Waikiki;Vaititi,Waikiki,Waikīkī,Waititi,Waititi Be,Whyteete,Wytiti;P;PPL;US;United States;;HI;003;;;19862;1;24;Pacific/Honolulu;2024-10-06;United States;21.2855, -157.83594
5855420;Hale‘iwa;Hale'iwa;Hale'iwa,Haleiwa,Hale‘iwa,halleiwa,할레이와;P;PPL;US;United States;;HI;003;;;3970;1;8;Pacific/Honolulu;2017-09-05;United States;21.59284, -158.10339
5855644;Hanapēpē Heights;Hanapepe Heights;Hanapepe Heights,Hanapēpē Heights;P;PPL;US;United States;;HI;007;;;2692;48;49;Pacific/Honolulu;2013-03-07;United States;21.91633, -159.58995
5857121;Anahola;Anahola;Anagola,Anahola,Anakhola,a na huo la,anahwla  hawayy,enahola,Анагола,Анахола,Անահոլա,آناهولا، هاوایی,اناهولا، هاوایی,एनाहोला,阿納霍拉;P;PPL;US;United States;;HI;007;;;2223;4;11;Pacific/Honolulu;2011-05-14;United States;22.14226, -159.31388
2180286;Waikawa;Waikawa;;P;PPL;NZ;New Zealand;;F4;053;;;1720;;35;Pacific/Auckland;2025-07-15;New Zealand;-41.26667, 174.05
2182010;Tairua;Tairua;;P;PPL;NZ;New Zealand;;G1;011;;;1588;;10;Pacific/Auckland;2011-08-01;New Zealand;-37.01667, 175.85
2182720;Silverdale;Silverdale;;P;PPL;NZ;New Zealand;;E7;076;;;2370;;17;Pacific/Auckland;2025-07-17;New Zealand;-36.6187, 174.67764
2183609;Raupunga;Raupunga;;P;PPL;NZ;New Zealand;;F2;029;;;1188;;64;Pacific/Auckland;2021-12-29;New Zealand;-39.03333, 177.21667
2184512;Pleasant Point;Pleasant Point;Pleasant Point Town District;P;PPL;NZ;New Zealand;;E9;064;;;1470;;89;Pacific/Auckland;2025-07-15;New Zealand;-44.26667, 171.13333
2185814;Ohope Beach;Ohope Beach;Ohope;P;PPL;NZ;New Zealand;;E8;025;;;3250;;11;Pacific/Auckland;2024-11-23;New Zealand;-37.97519, 177.07588
2185922;Oakura;Oakura;;P;PPL;NZ;New Zealand;;F9;033;;;1720;;22;Pacific/Auckland;2022-11-30;New Zealand;-39.11667, 173.95
2189425;Jerusalem;Jerusalem;Hiruharama,Hiruharama),Hiruhārama);P;PPL;NZ;New Zealand;;F3;037;;;1155;;80;Pacific/Auckland;2022-11-30;New Zealand;-39.55, 175.06667
2207740;Takapuna;Takapuna;Takapuna,ta ka pu na,takabwna,takapuna,takapwna,tkapwna,tqpwnh,Такапуна,טקפונה,تاكابونا,تاکاپونا,تکاپونا,タカプナ,塔卡普納,塔卡普纳,타카푸나;P;PPL;NZ;New Zealand;;E7;076;;;12470;;22;Pacific/Auckland;2025-07-18;New Zealand;-36.79167, 174.77583
4032804;Waitangi;Waitangi;;P;PPLA;NZ;New Zealand;;10;;;;140;;18;Pacific/Chatham;2025-08-04;New Zealand;-43.95353, -176.55973
6205095;Hawthorndale;Hawthorndale;;P;PPLX;NZ;New Zealand;;F8;075;;;1900;;15;Pacific/Auckland;2025-07-21;New Zealand;-46.39841, 168.38009
6212209;Tainui;Tainui;;P;PPLX;NZ;New Zealand;;F7;071;;;2090;;14;Pacific/Auckland;2025-01-17;New Zealand;-45.90134, 170.52326
6219010;Netherby;Netherby;;P;PPLX;NZ;New Zealand;;E9;063;;;2130;;100;Pacific/Auckland;2024-11-23;New Zealand;-43.89834, 171.76011
6229575;Kaikohe;Kaikohe;KKO;P;PPL;NZ;New Zealand;;F6;001;;;4890;;192;Pacific/Auckland;2024-11-23;New Zealand;-35.39818, 173.80018
6244689;Strathmore Park;Strathmore Park;;P;PPLX;NZ;New Zealand;;G2;047;;;3910;;19;Pacific/Auckland;2025-07-22;New Zealand;-41.32887, 174.81986
6244863;Woburn;Woburn;;P;PPLX;NZ;New Zealand;;G2;046;;;1850;;2;Pacific/Auckland;2025-07-22;New Zealand;-41.21827, 174.90019
6244896;Heretaunga;Heretaunga;;P;PPLX;NZ;New Zealand;;G2;045;;;2520;;50;Pacific/Auckland;2025-07-22;New Zealand;-41.13827, 175.0202
6244910;Maungaraki;Maungaraki;;P;PPLX;NZ;New Zealand;;G2;046;;;4290;;211;Pacific/Auckland;2025-07-22;New Zealand;-41.20827, 174.87019
